29.964,26.118,23.043,50.2,59.1,67.4,13.83,214.3,57.9,17
29.955,29.544,22.176,64.2,69.2,62.1,13.575,204.9,54.2,16.9
29.817,25.314,22.182,54.6,66.6,61.2,13.413,214.5,62.7,16.5
29.715,23.04,23.022,39.5,61.9,58.6,13.116,205.3,67.2,15
29.463,26.853,21.132,31.7,69.7,62.7,12.564,208.7,78.1,19.8
29.136,26.178,20.493,24.5,75.9,59.7,12.099,196.8,73.5,20.8
28.998,25.566,22.68,16.6,73.3,57.8,12.141,194.2,81,18.9
29.19,27.627,25.875,9.4,73.2,52.1,13.227,180.9,79.8,19.3
29.106,26.544,27.648,3.4,77,49.9,14.127,162.5,82,21
28.527,26.625,23.544,0.1,79.9,42.5,14.601,156.7,84.2,22.6
28.341,23.064,24.822,0,82.7,43,14.388,153.5,88.1,24.4
27.969,19.2,26.799,0,85.5,40.5,13.875,153.4,87.6,26.9
27.702,18.801,27.324,0,86.3,31.4,13.692,151.5,89.6,28.5
28.44,20.415,25.629,0,84.9,25.1,14.787,148,92.3,28
28.638,20.568,26.181,0,85.4,22.9,17.01,160.6,90.7,30.4
28.632,21.369,26.145,0,86.1,19.1,19.233,154.7,82.9,29.4
27.384,25.581,26.34,0,84.7,20,20.226,158.7,86.3,29.1
26.226,24.543,21.972,0,83.8,22.6,19.575,157.1,83,32.8
25.869,22.986,27.231,0,83.7,20.8,18.096,153.5,84.8,32.8
25.425,23.295,27.402,0,83,18.6,17.583,146,84.9,32.7
24.87,22.77,28.617,1.3,83,18.5,18.708,135.3,85.5,39.2
24.657,24.009,29.016,7.1,84.5,16.6,19.404,132.3,87.1,40.1
24.804,26.046,28.959,15.3,85.3,15.7,19.443,118.3,89.2,40.5
25.47,27.459,25.731,23.3,85.7,15.5,22.059,121,89.7,41.7
26.343,28.074,28.809,36.7,85.3,16,25.263,113.9,89.5,32.2
27.216,28.752,29.316,53.1,86.2,14.5,27.519,109.4,90,31.5
27.546,27.573,28.062,67.1,85.4,13.4,28.467,106.9,90,28.9
27.174,27.801,26.991,77.2,87.2,13.6,28.725,106.6,90.1,26.1
26.235,29.127,28.017,95.8,86.2,13.5,29.067,98.3,90.1,26.9
25.596,27.333,27.792,119.6,86,12.4,29.313,95.2,90.1,26.4
26.292,25.833,23.091,145.1,85.7,13.5,29.502,94.4,90.3,27.4
26.883,23.256,24.477,166.2,86.4,14.4,29.532,82.2,90,27.9
26.574,26.424,26.889,191.5,84,14.2,29.412,74.9,90.3,30.2
24.564,27.132,27.078,213.4,83.1,13.7,29.313,66.3,89.9,29
21.714,26.937,28.302,216.8,82.5,15.6,29.163,59,90.7,33.1
19.173,23.985,24.465,205,83.9,15.8,29.046,47.3,89.5,33
18.102,27.381,17.283,221.3,82.3,14.6,28.911,37.2,91.9,39.4
17.613,27.609,11.97,261.7,83.4,13.9,28.482,31.8,91.1,41.6
18.45,29.148,8.469,301.8,85.8,14.3,27.054,27.9,92.2,44.2
18.987,29.634,6.873,336.2,85.5,15.2,25.383,26.4,92.5,44.4
19.989,28.479,6.216,333.9,85.6,14.7,23.55,25.7,92.6,43.4
20.205,28.383,5.658,340.1,85.9,13.9,22.569,25.1,92.6,46.9
20.079,28.425,5.079,361.2,86,13.2,22.317,23.4,92.6,45.2
20.505,28.017,5.259,381.6,85.5,14.3,22.95,26.6,92.6,48.1
20.193,27.927,5.37,394,86.9,13.8,25.116,31.5,92.6,48
19.935,27.72,4.593,383.5,87.3,15,26.949,36.7,92.7,56.4
19.383,27.426,4.197,392.2,87.3,15,27.594,43.4,92.7,46
19.536,26.394,5.997,408.5,88.2,17.1,27.615,43.2,92.7,46.5
20.868,26.88,10.551,419.7,88.4,14.8,26.247,42.5,92.7,38.5
21.864,27.093,12.96,409.4,87.5,12.4,26.064,40.5,92.6,35.9
21.846,28.398,12.429,431,87.2,13.4,25.974,37.9,92.7,35.1
21.192,25.179,14.997,465.1,87.5,10.5,25.041,37.7,92.6,29.9
20.193,28.419,12.9,519,87.3,9.3,23.598,39.7,92.2,26.8
19.548,28.461,8.508,524.6,87.6,9,22.602,41.5,90.1,23.8
18.879,26.826,6.978,531.2,86.3,8.4,22.356,41.5,88.8,23
18.495,26.763,5.709,571,86.4,7.2,21.657,42.8,87.2,22
18.708,25.953,5.502,584.9,81.2,7.5,20.064,43.3,87.8,25.1
19.335,25.218,4.965,582.4,77.5,8.5,17.364,45.1,82.6,27.5
20.01,25.038,3.486,603,74.8,6.2,14.424,47.5,80.4,32.7
20.862,25.95,2.547,620,70.9,6.6,13.23,50.5,83.2,39.9
21.003,26.784,2.745,618.5,68.1,6.1,14.703,51.5,80,46.4
19.668,26.748,5.331,599.6,66,5.5,18.486,52.2,75.6,55.2
18.192,26.277,10.077,560.1,63,4.8,21.906,52.8,77.7,61.1
16.938,25.026,15.081,556,59.4,4.3,23.085,51.3,77.4,66.9
15.627,23.598,13.14,555.6,57,4.5,24.066,48.6,73.9,70.3
13.842,22.794,9.009,560.7,58.1,3.8,24.345,47,73.1,74.3
12.285,22.758,8.271,562.5,57.1,3.3,24.453,45.3,73.3,76.9
11.262,23.619,9.42,560.6,55,3.4,25.431,43.1,65.8,78.7
10.062,20.817,12.396,548.6,54.2,3.2,27.399,40.7,59.6,80.2
9.105,21.348,16.998,562.2,51,2.9,28.872,39.2,52,81.4
8.652,16.395,18.243,572.8,50.2,3.2,29.703,38.5,44.2,82.9
8.487,16.632,20.118,561,45.8,2.9,29.955,35.5,42.6,84.4
8.382,12.6,23.877,528.4,37.8,2.8,29.994,36.1,44,87.9
8.244,11.355,26.127,514.8,35.9,1.7,30,32.6,40.2,89.1
8.292,9.54,26.25,481.6,30.6,1.1,30,32.8,39.6,90
7.95,8.151,27.756,463.3,28.5,1,30,30,39,90.6
7.614,7.26,27.663,449.3,23.9,0.7,30,29.1,37.6,91.1
7.434,5.244,26.067,441.4,21,0.9,30,29.7,38.4,90.9
7.296,3.315,25.353,456.2,22.8,2.9,30,31.1,38.9,91.2
7.395,3.546,26.418,461.7,20.2,4.1,30,28.4,38.4,91.4
7.299,4.461,27.309,423.7,19.2,4.6,30,29.9,35.6,91.5
6.966,4.14,27.741,373.2,18.7,6.2,30,31.6,34.5,90.5
6.729,4.14,28.596,354.6,15.8,7,30,36.9,29.8,89.2
6.171,4.224,28.617,360.7,13.1,9.5,30,36.1,24.9,88.7
5.28,4.347,28.938,403.7,12.4,8.6,29.988,31.8,21,86.9
4.353,5.088,29.253,444.2,11.6,9.8,29.973,27.3,17,86.2
3.792,5.541,29.91,469.3,12.2,8.1,29.967,24.3,15.1,84.7
3.441,5.946,29.988,492.7,13.2,6.6,29.964,19.5,13.7,82.7
3.279,7.386,29.997,516.3,13.8,7.2,29.958,14.5,13.2,79.7
3.285,10.089,29.955,519.5,13.5,6.6,29.952,11.6,13.3,78.8
3.399,14.217,29.856,520.7,11.4,5.9,29.952,8.9,13.4,72.3
3.654,18.525,29.985,540.2,8.4,4.5,29.946,7.8,13,61.3
4.119,20.745,30,569.6,6.4,4.3,29.901,6.8,14,49.6
4.818,22.245,30,603.8,5.4,2.9,29.838,5.6,15.9,34.5
5.34,25.518,30,623.1,4.8,2.4,29.727,3.1,19.8,24.3
5.781,28.638,30,644,3.9,2.5,29.547,3,23.3,16.6
