2.89E+07,8.27E+05,6.1535,3.71E+07,1.41E+06,6.0757,,,2.8868,8.2689,6.1535,3.7067,1.4111,6.0757
2.87E+07,8.03E+05,6.1559,3.69E+07,1.39E+06,6.0823,,,2.8703,8.0311,6.1559,3.6931,1.3883,6.0823
2.86E+07,7.80E+05,6.1621,3.68E+07,1.37E+06,6.091,,,2.8563,7.7972,6.1621,3.6809,1.366,6.091
2.84E+07,7.57E+05,6.1729,3.67E+07,1.34E+06,6.0995,,,2.8441,7.567,6.1729,3.6702,1.3447,6.0995
2.83E+07,7.37E+05,6.1779,3.66E+07,1.33E+06,6.1068,,,2.8308,7.3656,6.1779,3.6613,1.3263,6.1068
2.82E+07,7.16E+05,6.1889,3.65E+07,1.31E+06,6.1148,,,2.8192,7.1608,6.1889,3.654,1.3108,6.1148
2.81E+07,6.97E+05,6.2021,3.65E+07,1.30E+06,6.1243,,,2.8097,6.9715,6.2021,3.6486,1.2976,6.1243
2.80E+07,6.78E+05,6.2149,3.65E+07,1.29E+06,6.1373,,,2.8015,6.7834,6.2149,3.6452,1.2852,6.1373
2.79E+07,6.62E+05,6.2319,3.64E+07,1.28E+06,6.1546,,,2.7944,6.6174,6.2319,3.6444,1.2757,6.1546
2.79E+07,6.49E+05,6.2491,3.65E+07,1.27E+06,6.1737,,,2.7897,6.4891,6.2491,3.6464,1.2669,6.1737
2.79E+07,6.38E+05,6.2689,3.65E+07,1.26E+06,6.1903,,,2.7874,6.3786,6.2689,3.6511,1.2629,6.1903
,,,,,,,,2.7853,6.2767,6.2891,,,
,,,,,,,,2.786,6.196,6.3115,,,
,,,,,,,,2.7894,6.142,6.3327,,,
