4.45E+05,15907,5.9099,5.63E+05,24103,5.9048,,,4.4452,,5.6289
4.43E+05,15656,5.9086,5.61E+05,23835,5.904,,,4.4274,,5.61
4.41E+05,15404,5.9067,5.59E+05,23577,5.9031,,,4.41,,5.5916
4.39E+05,15161,5.9047,5.57E+05,23315,5.903,,,4.3931,,5.5739
4.38E+05,14927,5.9034,5.56E+05,23059,5.9038,,,4.3766,,5.5568
4.36E+05,14705,5.9022,5.54E+05,22826,5.9034,,,4.3606,,5.5404
4.35E+05,14484,5.9013,5.52E+05,22599,5.9031,,,4.3451,,5.5247
4.33E+05,14268,5.9008,5.51E+05,22367,5.9039,,,4.3301,,5.5095
4.32E+05,14054,5.9011,5.49E+05,22142,5.9047,,,4.3155,,5.4949
4.30E+05,13846,5.9006,5.48E+05,21915,5.9056,,,4.3015,,5.4808
4.29E+05,13644,5.9,5.47E+05,21700,5.9062,,,4.288,,5.4674
4.28E+05,13449,5.8996,5.45E+05,21491,5.9068,,,4.275,,5.4545
4.26E+05,13258,5.9008,5.44E+05,21285,5.9089,,,4.2625,,5.4424
4.25E+05,13078,5.902,5.43E+05,21090,5.9109,,,4.2505,,5.431
4.24E+05,12887,5.9043,5.42E+05,20896,5.9133,,,4.2389,,5.4202
4.23E+05,12718,5.9059,5.41E+05,20728,5.9154,,,4.2279,,5.4104
4.22E+05,12563,5.9089,5.40E+05,20573,5.9175,,,4.2177,,5.4013
4.21E+05,12399,5.9138,5.39E+05,20431,5.9195,,,4.2084,,5.3929
4.20E+05,12238,5.9171,5.39E+05,20285,5.9226,,,4.1988,,5.3853
4.19E+05,12088,5.9207,5.38E+05,20157,5.9261,,,4.1903,,5.3786
4.18E+05,11951,5.9242,5.37E+05,20040,5.9309,,,4.1824,,5.3733
4.18E+05,11827,5.9265,5.37E+05,19954,5.935,,,4.1755,,5.3695
4.17E+05,11713,5.9274,5.37E+05,19893,5.9385,,,4.1694,,5.367
4.16E+05,11609,5.9277,5.37E+05,19845,5.9432,,,4.164,,5.3657
4.16E+05,11507,5.9318,5.37E+05,19804,5.9482,,,4.1594,,5.3659
4.16E+05,11433,5.9355,5.37E+05,19773,5.9539,,,4.1556,,5.3676
4.15E+05,11350,5.9412,5.37E+05,19758,5.9609,,,4.1528,,5.3707
4.15E+05,11285,5.9468,5.38E+05,19796,5.9644,,,4.1508,,5.3751
4.15E+05,11213,5.9543,5.38E+05,19841,5.9696,,,4.1498,,5.3807
4.15E+05,11152,5.9633,5.39E+05,19885,5.9764,,,4.1499,,5.3877
4.15E+05,11106,5.9727,5.40E+05,19947,5.9826,,,4.151,,5.3963
4.15E+05,11070,5.9827,5.41E+05,20047,5.9874,,,4.1534,,5.4063
4.16E+05,11048,5.9927,5.42E+05,20154,5.9944,,,4.1567,,5.4179
4.16E+05,11021,6.0053,5.43E+05,20275,6.0028,,,4.1617,,5.4311
4.17E+05,11008,6.02,5.45E+05,20428,6.011,,,4.1687,,5.4462
4.18E+05,11050,6.0321,5.46E+05,20615,6.0176,,,4.1773,,5.4632
4.19E+05,11084,6.048,5.48E+05,20823,6.0238,,,4.1876,,5.4818
4.20E+05,11188,6.058,5.50E+05,21051,6.0297,,,4.1998,,5.502
4.21E+05,11303,6.0692,5.52E+05,21299,6.0368,,,4.2134,,5.5241
4.23E+05,11429,6.0802,5.55E+05,21598,6.041,,,4.2288,,5.5481
4.25E+05,11615,6.0882,5.57E+05,21923,6.0453,,,4.2459,,5.5735
4.26E+05,11807,6.0966,5.60E+05,22240,6.0527,,,4.2647,,5.6007
4.29E+05,12023,6.1066,5.63E+05,22593,6.0591,,,4.2858,,5.6299
4.31E+05,12275,6.1153,5.66E+05,22981,6.0651,,,4.3078,,5.6612
4.33E+05,12494,6.1302,5.69E+05,23393,6.0714,,,4.3318,,5.6942
NaN,12719,6.1486,5.73E+05,23823,6.0786,,,       NaN,,5.7293
4.39E+05,13003,6.1617,5.77E+05,24278,6.0873,,,4.3855,,5.7668
4.42E+05,13346,6.1749,5.81E+05,24753,6.0978,,,4.4155,,5.8079
4.45E+05,13704,6.1895,5.85E+05,25297,6.1058,,,4.4478,,5.8527
4.48E+05,14062,6.2095,5.90E+05,25908,6.1104,,,4.4827,,5.9004
4.52E+05,14480,6.2286,5.95E+05,26570,6.1115,,,4.5208,,5.9502
