7.0856e+05,47214,6.7055,1.0522e+06,73600,6.5389
6.9855e+05,45763,6.7224,1.0439e+06,72238,6.5645
6.8887e+05,44367,6.7387,1.0364e+06,70954,6.5911
6.798e+05,43102,6.751,1.0294e+06,69812,6.6132
6.7147e+05,41883,6.7714,1.0232e+06,68825,6.6321
6.6396e+05,40778,6.7961,1.0176e+06,67943,6.6479
6.5755e+05,39845,6.8109,1.0129e+06,67238,6.6593
6.5288e+05,39185,6.8162,1.0093e+06,66720,6.6685
6.4941e+05,38746,6.818,1.0066e+06,66335,6.6761
6.4706e+05,38402,6.8268,1.0047e+06,66090,6.6805
6.4588e+05,38236,6.835,1.0036e+06,65919,6.6897
6.4585e+05,38265,6.8459,1.0037e+06,65859,6.7018
6.4681e+05,38503,6.842,1.0048e+06,65949,6.7089
6.4865e+05,38829,6.8479,1.0068e+06,66216,6.7102
6.5147e+05,39265,6.8478,1.0096e+06,66633,6.7034
6.5507e+05,39743,6.8506,1.013e+06,67146,6.6967
6.596e+05,40302,6.865,1.0172e+06,67737,6.6908
6.6506e+05,40993,6.869,1.022e+06,68427,6.6843
6.7115e+05,41781,6.867,1.0277e+06,69250,6.6758
6.7777e+05,42663,6.8623,1.0338e+06,70134,6.6677
6.8492e+05,43616,6.8563,1.0401e+06,71044,6.6597
