7.0374e+008,1.5834e+007,6.0869,7.4844e+008,2.5552e+007,5.7648
7.724e+008,7.8095e+006,6.8677,9.1332e+008,2.1417e+007,6.1707
8.0937e+008,4.6675e+006,7.3405,1.0599e+009,1.9765e+007,6.4599
8.3413e+008,3.4646e+006,7.6148,1.1978e+009,1.8854e+007,6.6902
8.535e+008,2.9125e+006,7.7802,1.3305e+009,1.8254e+007,6.8874
8.6997e+008,2.5952e+006,7.9121,1.4595e+009,1.7814e+007,7.0641
8.8443e+008,2.3877e+006,8.0253,1.5858e+009,1.7481e+007,7.2241
8.9749e+008,2.2112e+006,8.1118,1.7101e+009,1.7215e+007,7.3713
9.0962e+008,2.1023e+006,8.1825,1.8326e+009,1.6998e+007,7.5077
9.2105e+008,2.0099e+006,8.2438,1.9537e+009,1.6816e+007,7.6359
