1.1853e+08,7.8847e+06,6.4916,1.719e+08,1.1754e+07,6.4325
1.1576e+08,7.5076e+06,6.4873,1.6919e+08,1.1373e+07,6.4383
1.1302e+08,7.1376e+06,6.4811,1.6651e+08,1.0993e+07,6.4454
1.103e+08,6.7704e+06,6.4765,1.6385e+08,1.0615e+07,6.4539
1.0762e+08,6.4097e+06,6.4694,1.6122e+08,1.0241e+07,6.4627
1.0502e+08,6.0511e+06,6.4689,1.5866e+08,9.8728e+06,6.4727
1.0249e+08,5.6944e+06,6.4712,1.562e+08,9.5175e+06,6.4843
1.0001e+08,5.3427e+06,6.4835,1.5387e+08,9.1762e+06,6.4968
9.7616e+07,4.9932e+06,6.4954,1.5168e+08,8.8499e+06,6.5108
9.5312e+07,4.6604e+06,6.5045,1.4963e+08,8.5373e+06,6.5298
9.314e+07,4.351e+06,6.5104,1.4775e+08,8.2513e+06,6.5477
9.1144e+07,4.068e+06,6.5186,1.4605e+08,7.9884e+06,6.5692
8.9357e+07,3.8114e+06,6.5283,1.4461e+08,7.7659e+06,6.5913
8.7821e+07,3.5855e+06,6.5368,1.4344e+08,7.578e+06,6.6157
8.6586e+07,3.3926e+06,6.5393,1.4257e+08,7.4522e+06,6.6318
8.5692e+07,3.2281e+06,6.5665,1.4207e+08,7.3809e+06,6.6434
8.5202e+07,3.1101e+06,6.6053,1.4202e+08,7.3682e+06,6.6562
8.5193e+07,3.0567e+06,6.6463,1.4239e+08,7.4405e+06,6.6545
8.5711e+07,3.0883e+06,6.6728,1.4313e+08,7.5643e+06,6.6497
8.6663e+07,3.2093e+06,6.6897,1.4414e+08,7.7478e+06,6.623
8.8023e+07,3.3939e+06,6.6957,1.4529e+08,7.9577e+06,6.5918
