1.1943e+009,2.3462e+008,2.0009e+007,2.4956e+007,3.2372e+008,7.2311e+007,4.5358e+008,1.7609e+008,7.9785e+007,2.6696e+007,1.4302e+007,1.4261e+009
1.1682e+009,2.2911e+008,1.9755e+007,2.453e+007,3.1884e+008,7.1011e+007,4.4557e+008,1.7323e+008,7.7642e+007,2.6113e+007,1.4121e+007,1.3999e+009
1.1423e+009,2.2364e+008,1.9504e+007,2.4112e+007,3.1401e+008,6.9725e+007,4.3763e+008,1.7038e+008,7.5527e+007,2.5535e+007,1.3944e+007,1.374e+009
1.1167e+009,2.1824e+008,1.9255e+007,2.3702e+007,3.0921e+008,6.8454e+007,4.2978e+008,1.6755e+008,7.3439e+007,2.4965e+007,1.3773e+007,1.3484e+009
1.0913e+009,2.1289e+008,1.9008e+007,2.3302e+007,3.0448e+008,6.7204e+007,4.2198e+008,1.6475e+008,7.1376e+007,2.4402e+007,1.3607e+007,1.323e+009
1.0667e+009,2.0758e+008,1.8766e+007,2.2917e+007,2.9982e+008,6.6005e+007,4.1427e+008,1.6196e+008,6.9622e+007,2.3849e+007,1.3451e+007,1.2982e+009
1.0428e+009,2.0236e+008,1.8527e+007,2.2549e+007,2.9526e+008,6.4973e+007,4.0668e+008,1.5921e+008,6.8335e+007,2.3312e+007,1.3304e+007,1.2745e+009
1.0196e+009,1.9717e+008,1.829e+007,2.2204e+007,2.9082e+008,6.4139e+007,3.9929e+008,1.565e+008,6.7471e+007,2.2806e+007,1.3173e+007,1.2519e+009
9.9711e+008,1.9202e+008,1.8059e+007,2.1896e+007,2.8651e+008,6.3465e+007,3.9215e+008,1.5383e+008,6.6868e+007,2.2334e+007,1.3063e+007,1.2302e+009
9.7546e+008,1.8693e+008,1.7834e+007,2.1627e+007,2.8245e+008,6.2954e+007,3.8525e+008,1.5126e+008,6.6485e+007,2.1903e+007,1.2977e+007,1.2097e+009
9.5499e+008,1.8196e+008,1.7619e+007,2.1409e+007,2.7863e+008,6.2647e+007,3.7874e+008,1.4883e+008,6.6271e+007,2.1516e+007,1.2912e+007,1.1905e+009
9.3625e+008,1.7707e+008,1.7414e+007,2.1255e+007,2.7505e+008,6.2579e+007,3.7291e+008,1.4656e+008,6.6244e+007,2.1171e+007,1.2875e+007,1.1731e+009
9.1945e+008,1.7235e+008,1.723e+007,2.1154e+007,2.7167e+008,6.2777e+007,3.6779e+008,1.4456e+008,6.6448e+007,2.0861e+007,1.2869e+007,1.1577e+009
9.0499e+008,1.6785e+008,1.7091e+007,2.1118e+007,2.6874e+008,6.3267e+007,3.6365e+008,1.4306e+008,6.6852e+007,2.0604e+007,1.2896e+007,1.1451e+009
8.9344e+008,1.6384e+008,1.6989e+007,2.1153e+007,2.6644e+008,6.3955e+007,3.608e+008,1.4202e+008,6.7509e+007,2.0418e+007,1.2939e+007,1.1361e+009
8.8545e+008,1.6036e+008,1.692e+007,2.1251e+007,2.6466e+008,6.4744e+007,3.5911e+008,1.414e+008,6.8633e+007,2.0309e+007,1.2987e+007,1.1304e+009
8.8136e+008,1.5763e+008,1.6897e+007,2.1405e+007,2.6337e+008,6.5604e+007,3.5878e+008,1.4133e+008,7.0344e+007,2.0286e+007,1.3042e+007,1.1287e+009
8.8199e+008,1.5592e+008,1.6902e+007,2.1598e+007,2.6278e+008,6.6508e+007,3.6061e+008,1.4187e+008,7.2317e+007,2.0378e+007,1.3104e+007,1.132e+009
8.8717e+008,1.5575e+008,1.6949e+007,2.1823e+007,2.6293e+008,6.7452e+007,3.635e+008,1.4287e+008,7.4379e+007,2.055e+007,1.3177e+007,1.1394e+009
8.9596e+008,1.5785e+008,1.7048e+007,2.2078e+007,2.6405e+008,6.8426e+007,3.6673e+008,1.4404e+008,7.6482e+007,2.0768e+007,1.3259e+007,1.1507e+009
9.0825e+008,1.6074e+008,1.7178e+007,2.2366e+007,2.6559e+008,6.9423e+007,3.7038e+008,1.4534e+008,7.8629e+007,2.1028e+007,1.3348e+007,1.164e+009
